loss,accuracy,lr
0.027460265904664993,0.7082279920578003,0.001
0.0107704047113657,0.7302445769309998,0.001
0.00836523249745369,0.7407500743865967,0.001
0.00669271033257246,0.7820188999176025,0.001
0.005919957999140024,0.7906742691993713,0.001
0.005467797163873911,0.7954244613647461,0.001
0.00514006894081831,0.7973666787147522,0.001
0.0048304712399840355,0.8005210757255554,0.001
0.004649248439818621,0.803683876991272,0.001
0.004383569583296776,0.8053449988365173,0.001
0.004199543502181768,0.8076568841934204,0.001
0.00406672665849328,0.8085969686508179,0.001
0.003916783258318901,0.8108214139938354,0.001
0.0038344787899404764,0.8119052648544312,0.001
0.0037005844060331583,0.8142518401145935,0.001
0.003614981658756733,0.8145970106124878,0.001
0.0035186056047677994,0.8153397440910339,0.001
0.0034562337677925825,0.8151623010635376,0.001
0.0033727295231074095,0.8165868520736694,0.001
0.0032912546303123236,0.8165080547332764,0.001
0.0032656812109053135,0.8149046301841736,0.001
0.003221210092306137,0.8130357265472412,0.001
0.003112831385806203,0.8170585036277771,0.001
0.0030584463384002447,0.8194184899330139,0.001
0.0029741779435425997,0.8220440149307251,0.001
